timestamp                                         	file                                              	    IDF1	     IDP	     IDR	    Rcll	    Prcn	      GT	      MT	      PT	      ML	     NUM	   PT(%)	     FAR	      TP	      FP	      FN	    IDSR	     FMR	    MOTP	    MOTA	   MT(%)	     IDS	      FM	   ML(%)	     MT(%)	     ML(%)	     PT(%)
200816_095842_521584	log/no_ibt_mot15_0_10_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT15_0_10_100_100/max_lost0/ADL-Rundle-6_1_525.txt	42.516216	54.933586	34.677580	49.411060	78.273245	24.000000	2.000000	20.000000	2.000000	525.000000	83.333333	1.308571	2475.000000	687.000000	2534.000000	1.032158	1.639309	73.614593	34.677580	8.333333	51.000000	81.000000	8.333333	8.333333	8.333333	83.333333
200816_095842_521584	log/no_ibt_mot15_0_10_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT15_0_10_100_100/max_lost0/ADL-Rundle-8_1_654.txt	37.541500	44.419823	32.507740	48.503612	66.277196	28.000000	6.000000	14.000000	8.000000	654.000000	50.000000	2.559633	3290.000000	1674.000000	3493.000000	0.845298	2.453426	72.647966	23.219814	21.428571	41.000000	119.000000	28.571429	21.428571	28.571429	50.000000
200816_095842_521584	log/no_ibt_mot15_0_10_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT15_0_10_100_100/max_lost0/ETH-Bahnhof_1_1000.txt	56.382132	54.108659	58.855032	69.547553	63.938879	171.000000	58.000000	55.000000	58.000000	1000.000000	32.163743	2.124000	3766.000000	2124.000000	1649.000000	0.560767	2.516264	74.158002	29.602955	33.918129	39.000000	175.000000	33.918129	33.918129	33.918129	32.163743
200816_095842_521584	log/no_ibt_mot15_0_10_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT15_0_10_100_100/max_lost0/ETH-Pedcross2_1_837.txt	22.794506	65.928189	13.779339	16.717228	79.984721	133.000000	2.000000	27.000000	104.000000	837.000000	20.300752	0.313023	1047.000000	262.000000	5216.000000	1.256189	3.888204	71.105082	12.198627	1.503759	21.000000	65.000000	78.195489	1.503759	78.195489	20.300752
200816_095842_521584	log/no_ibt_mot15_0_10_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT15_0_10_100_100/max_lost0/ETH-Sunnyday_1_354.txt	57.829011	71.383399	48.600646	57.804090	84.901186	30.000000	7.000000	13.000000	10.000000	354.000000	43.333333	0.539548	1074.000000	191.000000	784.000000	0.155698	0.501695	76.840075	47.039828	23.333333	9.000000	29.000000	33.333333	23.333333	33.333333	43.333333
200816_095842_521584	log/no_ibt_mot15_0_10_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT15_0_10_100_100/max_lost0/KITTI-13_1_340.txt	56.254136	56.742323	55.774278	57.349081	58.344459	42.000000	10.000000	17.000000	15.000000	340.000000	40.476190	0.917647	437.000000	312.000000	325.000000	0.052311	0.244119	71.476561	16.010499	23.809524	3.000000	14.000000	35.714286	23.809524	35.714286	40.476190
200816_095842_521584	log/no_ibt_mot15_0_10_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT15_0_10_100_100/max_lost0/KITTI-17_1_145.txt	66.722130	77.263969	58.711567	68.228404	89.788054	9.000000	0.000000	9.000000	0.000000	145.000000	100.000000	0.365517	466.000000	53.000000	217.000000	0.205193	0.278476	71.690070	58.418741	0.000000	14.000000	19.000000	0.000000	0.000000	0.000000	100.000000
200816_095842_521584	log/no_ibt_mot15_0_10_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT15_0_10_100_100/max_lost0/PETS09-S2L1_1_795.txt	61.932895	61.802002	62.064343	90.907060	90.522803	19.000000	16.000000	3.000000	0.000000	795.000000	15.789474	0.535849	4069.000000	426.000000	407.000000	0.374008	1.067024	72.244409	80.630027	84.210526	34.000000	97.000000	0.000000	84.210526	0.000000	15.789474
200816_095842_521584	log/no_ibt_mot15_0_10_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT15_0_10_100_100/max_lost0/TUD-Campus_1_71.txt	51.077944	63.114754	42.896936	62.395543	91.803279	8.000000	0.000000	8.000000	0.000000	71.000000	100.000000	0.281690	224.000000	20.000000	135.000000	0.128214	0.128214	71.951073	54.596100	0.000000	8.000000	8.000000	0.000000	0.000000	0.000000	100.000000
200816_095842_521584	log/no_ibt_mot15_0_10_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT15_0_10_100_100/max_lost0/TUD-Stadtmitte_1_179.txt	64.875427	74.523008	57.439446	69.896194	90.684624	10.000000	7.000000	3.000000	0.000000	179.000000	30.000000	0.463687	808.000000	83.000000	348.000000	0.100149	0.228911	66.060289	62.110727	70.000000	7.000000	16.000000	0.000000	70.000000	0.000000	30.000000
200816_095842_521584	log/no_ibt_mot15_0_10_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT15_0_10_100_100/max_lost0/Venice-2_1_600.txt	46.589359	59.559625	38.257947	49.054754	76.367997	26.000000	5.000000	16.000000	5.000000	600.000000	61.538462	1.806667	3503.000000	1084.000000	3638.000000	0.713488	1.508518	74.541267	33.384680	19.230769	35.000000	74.000000	19.230769	19.230769	19.230769	61.538462
200816_095842_521584	log/no_ibt_mot15_0_10_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT15_0_10_100_100/max_lost0	47.216828	57.164737	40.218018	53.023431	75.365984	500.000000	113.000000	185.000000	202.000000	5500.000000	37.000000	1.257455	21159.000000	6916.000000	18746.000000	4.941212	13.145132	73.097848	35.035710	22.600000	262.000000	697.000000	40.400000	22.600000	40.400000	37.000000
