timestamp                                         	file                                              	    IDF1	     IDP	     IDR	    Rcll	    Prcn	    GT	      MT	      PT	      ML	    FP	    FN	   IDs	      FM	    MOTA	    MOTP	     MT(%)	     ML(%)	     PT(%)
200816_095251_086589	log/no_ibt_mot17_0_6_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT17_0_6_100_100/max_lost0/MOT17-02-FRCNN.txt	0.388210	0.954682	0.243642	0.255208	1.000000	    83	9.000000	32.000000	42.000000	     0	 22346	    59	73.000000	0.253241	0.243820	10.843373	50.602410	38.554217
200816_095451_299981	log/no_ibt_mot17_0_6_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT17_0_6_100_100/max_lost0/MOT17-04-FRCNN.txt	0.412992	0.999787	0.260247	0.260303	1.000000	   141	17.000000	43.000000	81.000000	     0	 79891	    73	79.000000	0.259627	0.194971	12.056738	57.446809	30.496454
200816_095456_203981	log/no_ibt_mot17_0_6_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT17_0_6_100_100/max_lost0/MOT17-05-FRCNN.txt	0.586892	0.972840	0.420192	0.431923	1.000000	   156	23.000000	51.000000	82.000000	     0	  4552	    25	39.000000	0.428803	0.200897	14.743590	52.564103	32.692308
200816_095500_478079	log/no_ibt_mot17_0_6_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT17_0_6_100_100/max_lost0/MOT17-09-FRCNN.txt	0.437608	1.000000	0.280088	0.280088	1.000000	    64	7.000000	15.000000	42.000000	     0	  7495	    19	22.000000	0.278263	0.136228	10.937500	65.625000	23.437500
200816_095514_066730	log/no_ibt_mot17_0_6_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT17_0_6_100_100/max_lost0/MOT17-10-FRCNN.txt	0.597636	0.865291	0.456447	0.527507	1.000000	    73	17.000000	40.000000	16.000000	     0	  8245	   133	153.000000	0.519885	0.435497	23.287671	21.917808	54.794521
200816_095520_009828	log/no_ibt_mot17_0_6_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT17_0_6_100_100/max_lost0/MOT17-11-FRCNN.txt	0.663366	0.944967	0.511067	0.540548	0.999478	    91	20.000000	31.000000	40.000000	     3	  4878	    44	45.000000	0.536121	0.166121	21.978022	43.956044	34.065934
200816_095536_328775	log/no_ibt_mot17_0_6_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT17_0_6_100_100/max_lost0/MOT17-13-FRCNN.txt	0.531169	0.985377	0.363578	0.368973	1.000000	   188	33.000000	56.000000	99.000000	     0	 12748	   112	176.000000	0.363429	0.382781	17.553191	52.659574	29.787234
200816_100538_681056	log/no_ibt_mot17_0_6_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT17_0_6_100_100/max_lost0/MOT17-02-FRCNN.txt	0.388210	0.954682	0.243642	0.255208	1.000000	    83	9.000000	32.000000	42.000000	     0	 22346	    59	73.000000	0.253241	0.243820	10.843373	50.602410	38.554217
200816_100735_630441	log/no_ibt_mot17_0_6_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT17_0_6_100_100/max_lost0/MOT17-04-FRCNN.txt	0.412992	0.999787	0.260247	0.260303	1.000000	   141	17.000000	43.000000	81.000000	     0	 79891	    73	79.000000	0.259627	0.194971	12.056738	57.446809	30.496454
200816_100740_457525	log/no_ibt_mot17_0_6_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT17_0_6_100_100/max_lost0/MOT17-05-FRCNN.txt	0.586892	0.972840	0.420192	0.431923	1.000000	   156	23.000000	51.000000	82.000000	     0	  4552	    25	39.000000	0.428803	0.200897	14.743590	52.564103	32.692308
200816_100744_606424	log/no_ibt_mot17_0_6_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT17_0_6_100_100/max_lost0/MOT17-09-FRCNN.txt	0.437608	1.000000	0.280088	0.280088	1.000000	    64	7.000000	15.000000	42.000000	     0	  7495	    19	22.000000	0.278263	0.136228	10.937500	65.625000	23.437500
200816_100758_012676	log/no_ibt_mot17_0_6_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT17_0_6_100_100/max_lost0/MOT17-10-FRCNN.txt	0.597636	0.865291	0.456447	0.527507	1.000000	    73	17.000000	40.000000	16.000000	     0	  8245	   133	153.000000	0.519885	0.435497	23.287671	21.917808	54.794521
200816_100803_827119	log/no_ibt_mot17_0_6_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT17_0_6_100_100/max_lost0/MOT17-11-FRCNN.txt	0.663366	0.944967	0.511067	0.540548	0.999478	    91	20.000000	31.000000	40.000000	     3	  4878	    44	45.000000	0.536121	0.166121	21.978022	43.956044	34.065934
200816_100819_848572	log/no_ibt_mot17_0_6_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT17_0_6_100_100/max_lost0/MOT17-13-FRCNN.txt	0.531169	0.985377	0.363578	0.368973	1.000000	   188	33.000000	56.000000	99.000000	     0	 12748	   112	176.000000	0.363429	0.382781	17.553191	52.659574	29.787234
200816_100819_850543	log/no_ibt_mot17_0_6_100_100/lk_wrapper_tmpls2_svm_min10_active_pt_svm/MOT17_0_6_100_100/max_lost0	0.463785	0.967281	0.305016	0.315318	0.999954	   796	126.000000	268.000000	402.000000	     3	140155	   465	587.000000	0.313032	0.251855	15.829146	50.502513	33.668342
